,date,away_team,away_score,home_team,home_score
0,11/1/2023,ARIZONA COYOTES,3,ANAHEIM DUCKS,4
1,11/1/2023,DALLAS STARS,4,CALGARY FLAMES,3
2,11/1/2023,ST. LOUIS BLUES,1,COLORADO AVALANCHE,4
3,11/1/2023,BUFFALO SABRES,5,PHILADELPHIA FLYERS,2
4,11/2/2023,MONTREAL CANADIENS,2,ARIZONA COYOTES,3
5,11/2/2023,TAMPA BAY LIGHTNING,2,COLUMBUS BLUE JACKETS,4
6,11/2/2023,DALLAS STARS,4,EDMONTON OILERS,3
7,11/2/2023,CAROLINA HURRICANES,1,NEW YORK RANGERS,2
8,11/2/2023,NEW JERSEY DEVILS,5,MINNESOTA WILD,3
9,11/2/2023,LOS ANGELES KINGS,3,OTTAWA SENATORS,2
10,11/2/2023,VANCOUVER CANUCKS,10,SAN JOSE SHARKS,1
11,11/2/2023,NEW YORK ISLANDERS,3,WASHINGTON CAPITALS,0
12,11/2/2023,NASHVILLE PREDATORS,2,SEATTLE KRAKEN,4
13,11/2/2023,WINNIPEG JETS,2,VEGAS GOLDEN KNIGHTS,5
14,11/2/2023,TORONTO MAPLE LEAFS,2,BOSTON BRUINS,3
15,11/2/2023,FLORIDA PANTHERS,2,DETROIT RED WINGS,0
16,11/3/2023,PHILADELPHIA FLYERS,5,BUFFALO SABRES,1
17,11/3/2023,NEW JERSEY DEVILS,1,ST. LOUIS BLUES,4
18,11/3/2023,PHILADELPHIA FLYERS,5,BUFFALO SABRES,1
19,11/3/2023,NEW JERSEY DEVILS,1,ST. LOUIS BLUES,4
20,11/4/2023,WINNIPEG JETS,5,ARIZONA COYOTES,3
21,11/4/2023,FLORIDA PANTHERS,2,CHICAGO BLACKHAWKS,5
22,11/4/2023,BOSTON BRUINS,4,DETROIT RED WINGS,5
23,11/4/2023,NASHVILLE PREDATORS,5,EDMONTON OILERS,2
24,11/4/2023,NEW YORK RANGERS,4,MINNESOTA WILD,5
25,11/4/2023,CAROLINA HURRICANES,4,NEW YORK ISLANDERS,3
26,11/4/2023,TAMPA BAY LIGHTNING,6,OTTAWA SENATORS,4
27,11/4/2023,LOS ANGELES KINGS,5,PHILADELPHIA FLYERS,0
28,11/4/2023,CALGARY FLAMES,6,SEATTLE KRAKEN,3
29,11/4/2023,PITTSBURGH PENGUINS,10,SAN JOSE SHARKS,2
30,11/4/2023,MONTREAL CANADIENS,3,ST. LOUIS BLUES,6
31,11/4/2023,BUFFALO SABRES,6,TORONTO MAPLE LEAFS,4
32,11/4/2023,DALLAS STARS,0,VANCOUVER CANUCKS,2
33,11/4/2023,COLORADO AVALANCHE,0,VEGAS GOLDEN KNIGHTS,7
34,11/4/2023,COLUMBUS BLUE JACKETS,1,WASHINGTON CAPITALS,2
35,11/5/2023,NEW JERSEY DEVILS,4,CHICAGO BLACKHAWKS,2
36,11/5/2023,VEGAS GOLDEN KNIGHTS,2,ANAHEIM DUCKS,4
37,11/6/2023,BOSTON BRUINS,3,DALLAS STARS,2
38,11/6/2023,COLUMBUS BLUE JACKETS,4,FLORIDA PANTHERS,5
39,11/6/2023,TAMPA BAY LIGHTNING,5,TORONTO MAPLE LEAFS,6
40,11/6/2023,EDMONTON OILERS,2,VANCOUVER CANUCKS,6
41,11/7/2023,PITTSBURGH PENGUINS,2,ANAHEIM DUCKS,0
42,11/7/2023,SEATTLE KRAKEN,3,ARIZONA COYOTES,4
43,11/7/2023,BUFFALO SABRES,2,CAROLINA HURRICANES,3
44,11/7/2023,NASHVILLE PREDATORS,2,CALGARY FLAMES,4
45,11/7/2023,NEW JERSEY DEVILS,3,COLORADO AVALANCHE,6
46,11/7/2023,TAMPA BAY LIGHTNING,5,MONTREAL CANADIENS,3
47,11/7/2023,MINNESOTA WILD,4,NEW YORK ISLANDERS,2
48,11/7/2023,DETROIT RED WINGS,3,NEW YORK RANGERS,5
49,11/7/2023,PHILADELPHIA FLYERS,1,SAN JOSE SHARKS,2
50,11/7/2023,WINNIPEG JETS,5,ST. LOUIS BLUES,2
51,11/8/2023,OTTAWA SENATORS,6,TORONTO MAPLE LEAFS,3
52,11/8/2023,LOS ANGELES KINGS,4,VEGAS GOLDEN KNIGHTS,1
53,11/8/2023,FLORIDA PANTHERS,4,WASHINGTON CAPITALS,3
54,11/9/2023,NEW YORK ISLANDERS,2,BOSTON BRUINS,5
55,11/9/2023,DALLAS STARS,5,COLUMBUS BLUE JACKETS,2
56,11/9/2023,SEATTLE KRAKEN,4,COLORADO AVALANCHE,3
57,11/9/2023,MONTREAL CANADIENS,3,DETROIT RED WINGS,2
58,11/9/2023,PITTSBURGH PENGUINS,4,LOS ANGELES KINGS,3
59,11/9/2023,MINNESOTA WILD,1,NEW YORK RANGERS,4
60,11/9/2023,VANCOUVER CANUCKS,5,OTTAWA SENATORS,2
61,11/9/2023,EDMONTON OILERS,2,SAN JOSE SHARKS,3
62,11/9/2023,ARIZONA COYOTES,1,ST. LOUIS BLUES,2
63,11/9/2023,CHICAGO BLACKHAWKS,5,TAMPA BAY LIGHTNING,3
64,11/9/2023,NASHVILLE PREDATORS,3,WINNIPEG JETS,6
65,11/10/2023,MINNESOTA WILD,2,BUFFALO SABRES,3
66,11/10/2023,CALGARY FLAMES,4,TORONTO MAPLE LEAFS,5
67,11/10/2023,CAROLINA HURRICANES,2,FLORIDA PANTHERS,5
68,11/10/2023,WASHINGTON CAPITALS,4,NEW JERSEY DEVILS,2
69,11/10/2023,SAN JOSE SHARKS,0,VEGAS GOLDEN KNIGHTS,5
70,11/10/2023,PHILADELPHIA FLYERS,6,ANAHEIM DUCKS,3
71,11/12/2023,SAN JOSE SHARKS,1,ANAHEIM DUCKS,4
72,11/12/2023,CHICAGO BLACKHAWKS,3,FLORIDA PANTHERS,4
73,11/12/2023,DALLAS STARS,8,MINNESOTA WILD,3
74,11/12/2023,VANCOUVER CANUCKS,5,MONTREAL CANADIENS,2
75,11/12/2023,COLUMBUS BLUE JACKETS,3,NEW YORK RANGERS,4
